	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
304	91,2	2,3902	44,552	
305	91,5	2,3945	44,55	
306	91,8	2,3988	44,548	
307	92,1	2,4031	44,546	
308	92,4	2,4074	44,543	
309	92,7	2,4118	44,541	
310	93,	2,4162	44,539	
311	93,3	2,4207	44,537	
312	93,6	2,4252	44,535	
313	93,9	2,4297	44,532	
314	94,2	2,4343	44,53	
315	94,5	2,4389	44,528	
316	94,8	2,4436	44,525	
317	95,1	2,4483	44,523	
318	95,4	2,453	44,521	
319	95,7	2,4578	44,518	
320	96,	2,4626	44,516	
321	96,3	2,4675	44,514	
322	96,6	2,4724	44,511	
323	96,9	2,4773	44,509	
324	97,2	2,4823	44,507	
325	97,5	2,4873	44,504	
326	97,8	2,4924	44,502	
327	98,1	2,4975	44,499	
328	98,4	2,5027	44,497	
329	98,7	2,5079	44,494	
330	99,	2,5132	44,492	
331	99,3	2,5185	44,489	
332	99,6	2,5239	44,486	
333	99,9	2,5293	44,484	
334	100,2	2,5347	44,481	
335	100,5	2,5403	44,479	
336	100,8	2,5458	44,476	
337	101,1	2,5514	44,473	
338	101,4	2,5571	44,47	
339	101,7	2,5628	44,468	
340	102,	2,5686	44,465	
341	102,3	2,5744	44,462	
342	102,6	2,5803	44,459	
343	102,9	2,5862	44,457	
344	103,2	2,5922	44,454	
345	103,5	2,5983	44,451	
346	103,8	2,6044	44,448	
347	104,1	2,6105	44,445	
348	104,4	2,6168	44,442	
349	104,7	2,6231	44,439	
350	105,	2,6294	44,436	
351	105,3	2,6358	44,433	
352	105,6	2,6423	44,43	
353	105,9	2,6488	44,427	
354	106,2	2,6554	44,424	
355	106,5	2,6621	44,421	
356	106,8	2,6688	44,417	
357	107,1	2,6756	44,414	
358	107,4	2,6825	44,411	
359	107,7	2,6894	44,408	
360	108,	2,6965	44,404	
361	108,3	2,7035	44,401	
362	108,6	2,7107	44,398	
363	108,9	2,7179	44,394	
364	109,2	2,7252	44,391	
365	109,5	2,7326	44,387	
366	109,8	2,7401	44,384	
367	110,1	2,7476	44,38	
368	110,4	2,7552	44,377	
369	110,7	2,7629	44,373	
370	111,	2,7707	44,37	
371	111,3	2,7785	44,366	
372	111,6	2,7865	44,362	
373	111,9	2,7945	44,358	
374	112,2	2,8026	44,355	
375	112,5	2,8108	44,351	
376	112,8	2,8191	44,347	
377	113,1	2,8275	44,343	
378	113,4	2,836	44,339	
379	113,7	2,8446	44,335	
380	114,	2,8532	44,331	
381	114,3	2,862	44,327	
382	114,6	2,8709	44,322	
383	114,9	2,8799	44,318	
384	115,2	2,8889	44,314	
385	115,5	2,8981	44,31	
386	115,8	2,9074	44,305	
387	116,1	2,9168	44,301	
388	116,4	2,9263	44,296	
389	116,7	2,9359	44,292	
390	117,	2,9456	44,287	
391	117,3	2,9555	44,283	
392	117,6	2,9654	44,278	
393	117,9	2,9755	44,273	
394	118,2	2,9857	44,268	
395	118,5	2,996	44,263	
396	118,8	3,0065	44,258	
397	119,1	3,0171	44,253	
398	119,4	3,0278	44,248	
399	119,7	3,0386	44,243	
400	120,	3,0496	44,238	
401	120,3	3,0607	44,233	
402	120,6	3,072	44,227	
403	120,9	3,0834	44,222	
404	121,2	3,095	44,216	
405	121,5	3,1067	44,211	
406	121,8	3,1185	44,205	
407	122,1	3,1306	44,199	
408	122,4	3,1427	44,193	
409	122,7	3,1551	44,187	
410	123,	3,1676	44,181	
411	123,3	3,1802	44,175	
412	123,6	3,1931	44,169	
413	123,9	3,2061	44,163	
414	124,2	3,2193	44,157	
415	124,5	3,2327	44,15	
416	124,8	3,2462	44,144	
417	125,1	3,26	44,137	
418	125,4	3,274	44,13	
419	125,7	3,2881	44,123	
420	126,	3,3025	44,116	
421	126,3	3,317	44,109	
422	126,6	3,3318	44,102	
423	126,9	3,3468	44,095	
424	127,2	3,362	44,087	
425	127,5	3,3775	44,08	
426	127,8	3,3932	44,072	
427	128,1	3,4091	44,064	
428	128,4	3,4252	44,056	
429	128,7	3,4417	44,048	
430	129,	3,4583	44,04	
431	129,3	3,4753	44,031	
432	129,6	3,4924	44,023	
433	129,9	3,5099	44,014	
434	130,2	3,5277	44,005	
435	130,5	3,5457	43,996	
436	130,8	3,564	43,987	
437	131,1	3,5827	43,978	
438	131,4	3,6016	43,968	
439	131,7	3,6209	43,959	
440	132,	3,6405	43,949	
441	132,3	3,6604	43,939	
442	132,6	3,6807	43,928	
443	132,9	3,7013	43,918	
444	133,2	3,7223	43,907	
445	133,5	3,7436	43,896	
446	133,8	3,7653	43,885	
447	134,1	3,7875	43,874	
448	134,4	3,81	43,862	
449	134,7	3,8329	43,851	
450	135,	3,8563	43,839	
451	135,3	3,8801	43,826	
452	135,6	3,9044	43,814	
453	135,9	3,9291	43,801	
454	136,2	3,9543	43,788	
455	136,5	3,98	43,774	
456	136,8	4,0062	43,761	
457	137,1	4,0329	43,747	
458	137,4	4,0601	43,732	
459	137,7	4,0879	43,718	
460	138,	4,1163	43,703	
461	138,3	4,1453	43,688	
462	138,6	4,1749	43,672	
463	138,9	4,2051	43,656	
464	139,2	4,236	43,639	
465	139,5	4,2675	43,622	
466	139,8	4,2997	43,605	
467	140,1	4,3327	43,587	
468	140,4	4,3663	43,569	
469	140,7	4,4008	43,551	
470	141,	4,436	43,531	
471	141,3	4,4721	43,512	
472	141,6	4,509	43,492	
473	141,9	4,5469	43,471	
474	142,2	4,5856	43,45	
475	142,5	4,6253	43,428	
476	142,8	4,6659	43,405	
477	143,1	4,7076	43,382	
478	143,4	4,7504	43,359	
479	143,7	4,7942	43,334	
480	144,	4,8393	43,309	
481	144,3	4,8855	43,283	
482	144,6	4,9329	43,256	
483	144,9	4,9817	43,229	
484	145,2	5,0318	43,2	
485	145,5	5,0833	43,171	
486	145,8	5,1363	43,141	
487	146,1	5,1909	43,11	
488	146,4	5,247	43,078	
489	146,7	5,3049	43,044	
490	147,	5,3645	43,01	
491	147,3	5,4259	42,974	
492	147,6	5,4893	42,938	
493	147,9	5,5547	42,899	
494	148,2	5,6222	42,86	
495	148,5	5,692	42,819	
496	148,8	5,7641	42,777	
497	149,1	5,8387	42,733	
