	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
226	0,226	3,3683e-002	3,3683e-002	3,3683e-002	
227	0,227	-1,0877e-003	-1,0877e-003	-1,0877e-003	
228	0,228	-2,777e-002	-2,777e-002	-2,777e-002	
229	0,229	-2,4527e-002	-2,4527e-002	-2,4527e-002	
230	0,23	2,022e-003	2,022e-003	2,022e-003	
231	0,231	3,288e-002	3,288e-002	3,288e-002	
232	0,232	2,4942e-002	2,4942e-002	2,4942e-002	
233	0,233	-1,7902e-002	-1,7902e-002	-1,7902e-002	
234	0,234	-3,5333e-002	-3,5333e-002	-3,5333e-002	
235	0,235	-9,3597e-003	-9,3597e-003	-9,3597e-003	
236	0,236	2,3236e-002	2,3236e-002	2,3236e-002	
237	0,237	2,8893e-002	2,8893e-002	2,8893e-002	
238	0,238	2,2176e-003	2,2176e-003	2,2176e-003	
239	0,239	-2,6309e-002	-2,6309e-002	-2,6309e-002	
240	0,24	-2,3489e-002	-2,3489e-002	-2,3489e-002	
241	0,241	2,9257e-003	2,9257e-003	2,9257e-003	
242	0,242	2,7005e-002	2,7005e-002	2,7005e-002	
243	0,243	2,4802e-002	2,4802e-002	2,4802e-002	
244	0,244	-1,1624e-002	-1,1624e-002	-1,1624e-002	
245	0,245	-3,713e-002	-3,713e-002	-3,713e-002	
246	0,246	-1,1578e-002	-1,1578e-002	-1,1578e-002	
247	0,247	2,5759e-002	2,5759e-002	2,5759e-002	
248	0,248	2,6636e-002	2,6636e-002	2,6636e-002	
249	0,249	5,468e-004	5,468e-004	5,468e-004	
250	0,25	-2,3304e-002	-2,3304e-002	-2,3304e-002	
251	0,251	-2,2553e-002	-2,2553e-002	-2,2553e-002	
252	0,252	3,4736e-003	3,4736e-003	3,4736e-003	
253	0,253	2,4837e-002	2,4837e-002	2,4837e-002	
254	0,254	2,0212e-002	2,0212e-002	2,0212e-002	
255	0,255	-7,1556e-003	-7,1556e-003	-7,1556e-003	
256	0,256	-3,1968e-002	-3,1968e-002	-3,1968e-002	
257	0,257	-1,6583e-002	-1,6583e-002	-1,6583e-002	
258	0,258	2,3464e-002	2,3464e-002	2,3464e-002	
259	0,259	2,9466e-002	2,9466e-002	2,9466e-002	
260	0,26	-4,4904e-004	-4,4904e-004	-4,4904e-004	
261	0,261	-2,3307e-002	-2,3307e-002	-2,3307e-002	
262	0,262	-2,0543e-002	-2,0543e-002	-2,0543e-002	
263	0,263	2,9352e-003	2,9352e-003	2,9352e-003	
264	0,264	2,4242e-002	2,4242e-002	2,4242e-002	
265	0,265	1,8013e-002	1,8013e-002	1,8013e-002	
266	0,266	-8,0993e-003	-8,0993e-003	-8,0993e-003	
267	0,267	-2,6275e-002	-2,6275e-002	-2,6275e-002	
268	0,268	-1,577e-002	-1,577e-002	-1,577e-002	
269	0,269	1,7195e-002	1,7195e-002	1,7195e-002	
270	0,27	2,9714e-002	2,9714e-002	2,9714e-002	
271	0,271	2,773e-003	2,773e-003	2,773e-003	
272	0,272	-2,3927e-002	-2,3927e-002	-2,3927e-002	
273	0,273	-1,9941e-002	-1,9941e-002	-1,9941e-002	
274	0,274	3,0087e-003	3,0087e-003	3,0087e-003	
275	0,275	2,2362e-002	2,2362e-002	2,2362e-002	
276	0,276	1,8226e-002	1,8226e-002	1,8226e-002	
277	0,277	-8,2474e-003	-8,2474e-003	-8,2474e-003	
278	0,278	-2,5477e-002	-2,5477e-002	-2,5477e-002	
279	0,279	-1,2655e-002	-1,2655e-002	-1,2655e-002	
280	0,28	1,4746e-002	1,4746e-002	1,4746e-002	
281	0,281	2,5742e-002	2,5742e-002	2,5742e-002	
282	0,282	5,4647e-003	5,4647e-003	5,4647e-003	
283	0,283	-2,1716e-002	-2,1716e-002	-2,1716e-002	
284	0,284	-2,0666e-002	-2,0666e-002	-2,0666e-002	
285	0,285	3,1887e-003	3,1887e-003	3,1887e-003	
286	0,286	2,0575e-002	2,0575e-002	2,0575e-002	
287	0,287	1,7011e-002	1,7011e-002	1,7011e-002	
288	0,288	-5,788e-003	-5,788e-003	-5,788e-003	
289	0,289	-2,4882e-002	-2,4882e-002	-2,4882e-002	
290	0,29	-1,3203e-002	-1,3203e-002	-1,3203e-002	
291	0,291	1,519e-002	1,519e-002	1,519e-002	
292	0,292	2,3579e-002	2,3579e-002	2,3579e-002	
293	0,293	4,7129e-003	4,7129e-003	4,7129e-003	
294	0,294	-1,873e-002	-1,873e-002	-1,873e-002	
295	0,295	-2,0186e-002	-2,0186e-002	-2,0186e-002	
296	0,296	2,195e-003	2,195e-003	2,195e-003	
297	0,297	2,0041e-002	2,0041e-002	2,0041e-002	
298	0,298	1,5017e-002	1,5017e-002	1,5017e-002	
299	0,299	-4,7255e-003	-4,7255e-003	-4,7255e-003	
300	0,3	-2,1539e-002	-2,1539e-002	-2,1539e-002	
301	0,301	-1,445e-002	-1,445e-002	-1,445e-002	
302	0,302	1,3063e-002	1,3063e-002	1,3063e-002	
303	0,303	2,4058e-002	2,4058e-002	2,4058e-002	
304	0,304	4,4306e-003	4,4306e-003	4,4306e-003	
305	0,305	-1,8007e-002	-1,8007e-002	-1,8007e-002	
306	0,306	-1,8541e-002	-1,8541e-002	-1,8541e-002	
307	0,307	1,1944e-003	1,1944e-003	1,1944e-003	
308	0,308	1,905e-002	1,905e-002	1,905e-002	
309	0,309	1,46e-002	1,46e-002	1,46e-002	
310	0,31	-5,3405e-003	-5,3405e-003	-5,3405e-003	
311	0,311	-1,9035e-002	-1,9035e-002	-1,9035e-002	
312	0,312	-1,2915e-002	-1,2915e-002	-1,2915e-002	
313	0,313	9,7891e-003	9,7891e-003	9,7891e-003	
314	0,314	2,2792e-002	2,2792e-002	2,2792e-002	
315	0,315	6,3388e-003	6,3388e-003	6,3388e-003	
316	0,316	-1,7549e-002	-1,7549e-002	-1,7549e-002	
317	0,317	-1,8124e-002	-1,8124e-002	-1,8124e-002	
318	0,318	1,2827e-003	1,2827e-003	1,2827e-003	
319	0,319	1,7435e-002	1,7435e-002	1,7435e-002	
320	0,32	1,4353e-002	1,4353e-002	1,4353e-002	
321	0,321	-4,7359e-003	-4,7359e-003	-4,7359e-003	
322	0,322	-1,8537e-002	-1,8537e-002	-1,8537e-002	
323	0,323	-1,1346e-002	-1,1346e-002	-1,1346e-002	
324	0,324	8,8318e-003	8,8318e-003	8,8318e-003	
325	0,325	1,997e-002	1,997e-002	1,997e-002	
326	0,326	7,3604e-003	7,3604e-003	7,3604e-003	
327	0,327	-1,5407e-002	-1,5407e-002	-1,5407e-002	
328	0,328	-1,8417e-002	-1,8417e-002	-1,8417e-002	
329	0,329	1,0012e-003	1,0012e-003	1,0012e-003	
330	0,33	1,6701e-002	1,6701e-002	1,6701e-002	
331	0,331	1,316e-002	1,316e-002	1,316e-002	
332	0,332	-3,6747e-003	-3,6747e-003	-3,6747e-003	
333	0,333	-1,7253e-002	-1,7253e-002	-1,7253e-002	
334	0,334	-1,147e-002	-1,147e-002	-1,147e-002	
335	0,335	8,4848e-003	8,4848e-003	8,4848e-003	
336	0,336	1,8544e-002	1,8544e-002	1,8544e-002	
337	0,337	6,8496e-003	6,8496e-003	6,8496e-003	
338	0,338	-1,3292e-002	-1,3292e-002	-1,3292e-002	
339	0,339	-1,7732e-002	-1,7732e-002	-1,7732e-002	
340	0,34	-1,7182e-004	-1,7182e-004	-1,7182e-004	
341	0,341	1,6365e-002	1,6365e-002	1,6365e-002	
342	0,342	1,2484e-002	1,2484e-002	1,2484e-002	
343	0,343	-3,803e-003	-3,803e-003	-3,803e-003	
344	0,344	-1,5326e-002	-1,5326e-002	-1,5326e-002	
345	0,345	-1,0991e-002	-1,0991e-002	-1,0991e-002	
346	0,346	6,9172e-003	6,9172e-003	6,9172e-003	
347	0,347	1,7744e-002	1,7744e-002	1,7744e-002	
348	0,348	6,889e-003	6,889e-003	6,889e-003	
349	0,349	-1,2196e-002	-1,2196e-002	-1,2196e-002	
350	0,35	-1,6553e-002	-1,6553e-002	-1,6553e-002	
351	0,351	-1,1708e-003	-1,1708e-003	-1,1708e-003	
352	0,352	1,5314e-002	1,5314e-002	1,5314e-002	
353	0,353	1,2746e-002	1,2746e-002	1,2746e-002	
354	0,354	-3,972e-003	-3,972e-003	-3,972e-003	
355	0,355	-1,4626e-002	-1,4626e-002	-1,4626e-002	
356	0,356	-9,588e-003	-9,588e-003	-9,588e-003	
357	0,357	5,8334e-003	5,8334e-003	5,8334e-003	
358	0,358	1,5985e-002	1,5985e-002	1,5985e-002	
359	0,359	7,3223e-003	7,3223e-003	7,3223e-003	
360	0,36	-1,0989e-002	-1,0989e-002	-1,0989e-002	
361	0,361	-1,5747e-002	-1,5747e-002	-1,5747e-002	
362	0,362	-1,591e-003	-1,591e-003	-1,591e-003	
363	0,363	1,3818e-002	1,3818e-002	1,3818e-002	
364	0,364	1,2694e-002	1,2694e-002	1,2694e-002	
365	0,365	-3,0537e-003	-3,0537e-003	-3,0537e-003	
366	0,366	-1,4492e-002	-1,4492e-002	-1,4492e-002	
367	0,367	-9,0957e-003	-9,0957e-003	-9,0957e-003	
368	0,368	5,8718e-003	5,8718e-003	5,8718e-003	
369	0,369	1,4416e-002	1,4416e-002	1,4416e-002	
370	0,37	6,9614e-003	6,9614e-003	6,9614e-003	
371	0,371	-9,5352e-003	-9,5352e-003	-9,5352e-003	
372	0,372	-1,4982e-002	-1,4982e-002	-1,4982e-002	
373	0,373	-1,9066e-003	-1,9066e-003	-1,9066e-003	
374	0,374	1,2741e-002	1,2741e-002	1,2741e-002	
375	0,375	1,1861e-002	1,1861e-002	1,1861e-002	
376	0,376	-2,0841e-003	-2,0841e-003	-2,0841e-003	
377	0,377	-1,3403e-002	-1,3403e-002	-1,3403e-002	
378	0,378	-9,3852e-003	-9,3852e-003	-9,3852e-003	
379	0,379	5,4506e-003	5,4506e-003	5,4506e-003	
380	0,38	1,3831e-002	1,3831e-002	1,3831e-002	
381	0,381	6,4701e-003	6,4701e-003	6,4701e-003	
382	0,382	-8,5735e-003	-8,5735e-003	-8,5735e-003	
383	0,383	-1,4054e-002	-1,4054e-002	-1,4054e-002	
384	0,384	-2,357e-003	-2,357e-003	-2,357e-003	
385	0,385	1,207e-002	1,207e-002	1,207e-002	
386	0,386	1,1243e-002	1,1243e-002	1,1243e-002	
387	0,387	-2,0437e-003	-2,0437e-003	-2,0437e-003	
388	0,388	-1,2027e-002	-1,2027e-002	-1,2027e-002	
389	0,389	-8,8679e-003	-8,8679e-003	-8,8679e-003	
390	0,39	4,2968e-003	4,2968e-003	4,2968e-003	
391	0,391	1,3043e-002	1,3043e-002	1,3043e-002	
392	0,392	6,6002e-003	6,6002e-003	6,6002e-003	
393	0,393	-7,8091e-003	-7,8091e-003	-7,8091e-003	
394	0,394	-1,3247e-002	-1,3247e-002	-1,3247e-002	
395	0,395	-2,8347e-003	-2,8347e-003	-2,8347e-003	
396	0,396	1,1201e-002	1,1201e-002	1,1201e-002	
397	0,397	1,1258e-002	1,1258e-002	1,1258e-002	
398	0,398	-2,0146e-003	-2,0146e-003	-2,0146e-003	
399	0,399	-1,1632e-002	-1,1632e-002	-1,1632e-002	
400	0,4	-7,8579e-003	-7,8579e-003	-7,8579e-003	
401	0,401	3,8635e-003	3,8635e-003	3,8635e-003	
402	0,402	1,1583e-002	1,1583e-002	1,1583e-002	
403	0,403	6,5443e-003	6,5443e-003	6,5443e-003	
404	0,404	-6,6992e-003	-6,6992e-003	-6,6992e-003	
405	0,405	-1,2452e-002	-1,2452e-002	-1,2452e-002	
406	0,406	-3,2231e-003	-3,2231e-003	-3,2231e-003	
407	0,407	1,0022e-002	1,0022e-002	1,0022e-002	
408	0,408	1,114e-002	1,114e-002	1,114e-002	
409	0,409	-1,2116e-003	-1,2116e-003	-1,2116e-003	
410	0,41	-1,1508e-002	-1,1508e-002	-1,1508e-002	
411	0,411	-7,739e-003	-7,739e-003	-7,739e-003	
412	0,412	4,1306e-003	4,1306e-003	4,1306e-003	
413	0,413	1,0689e-002	1,0689e-002	1,0689e-002	
414	0,414	5,7929e-003	5,7929e-003	5,7929e-003	
415	0,415	-5,7852e-003	-5,7852e-003	-5,7852e-003	
416	0,416	-1,138e-002	-1,138e-002	-1,138e-002	
417	0,417	-3,4112e-003	-3,4112e-003	-3,4112e-003	
418	0,418	8,9082e-003	8,9082e-003	8,9082e-003	
419	0,419	1,0496e-002	1,0496e-002	1,0496e-002	
420	0,42	-3,6597e-004	-3,6597e-004	-3,6597e-004	
421	0,421	-1,0618e-002	-1,0618e-002	-1,0618e-002	
422	0,422	-8,0908e-003	-8,0908e-003	-8,0908e-003	
423	0,423	3,7502e-003	3,7502e-003	3,7502e-003	
424	0,424	1,0574e-002	1,0574e-002	1,0574e-002	
425	0,425	5,3407e-003	5,3407e-003	5,3407e-003	
426	0,426	-5,5358e-003	-5,5358e-003	-5,5358e-003	
427	0,427	-1,0412e-002	-1,0412e-002	-1,0412e-002	
428	0,428	-3,3205e-003	-3,3205e-003	-3,3205e-003	
429	0,429	8,0689e-003	8,0689e-003	8,0689e-003	
430	0,43	9,7919e-003	9,7919e-003	9,7919e-003	
431	0,431	-1,0376e-004	-1,0376e-004	-1,0376e-004	
432	0,432	-9,5117e-003	-9,5117e-003	-9,5117e-003	
433	0,433	-7,7911e-003	-7,7911e-003	-7,7911e-003	
434	0,434	2,8395e-003	2,8395e-003	2,8395e-003	
435	0,435	1,0064e-002	1,0064e-002	1,0064e-002	
436	0,436	5,5462e-003	5,5462e-003	5,5462e-003	
437	0,437	-5,2165e-003	-5,2165e-003	-5,2165e-003	
438	0,438	-9,924e-003	-9,924e-003	-9,924e-003	
439	0,439	-3,2382e-003	-3,2382e-003	-3,2382e-003	
440	0,44	7,4372e-003	7,4372e-003	7,4372e-003	
441	0,441	9,3524e-003	9,3524e-003	9,3524e-003	
442	0,442	1,2718e-005	1,2718e-005	1,2718e-005	
443	0,443	-8,9434e-003	-8,9434e-003	-8,9434e-003	
444	0,444	-7,1621e-003	-7,1621e-003	-7,1621e-003	
