	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
889	0,889	-4,1275e-004	-4,1275e-004	-4,1275e-004	
890	0,89	-7,1488e-004	-7,1488e-004	-7,1488e-004	
891	0,891	-1,8176e-004	-1,8176e-004	-1,8176e-004	
892	0,892	5,5667e-004	5,5667e-004	5,5667e-004	
893	0,893	6,3805e-004	6,3805e-004	6,3805e-004	
894	0,894	-2,0558e-005	-2,0558e-005	-2,0558e-005	
895	0,895	-6,4427e-004	-6,4427e-004	-6,4427e-004	
896	0,896	-5,1519e-004	-5,1519e-004	-5,1519e-004	
897	0,897	2,0616e-004	2,0616e-004	2,0616e-004	
898	0,898	6,8133e-004	6,8133e-004	6,8133e-004	
899	0,899	3,6425e-004	3,6425e-004	3,6425e-004	
900	0,9	-3,7206e-004	-3,7206e-004	-3,7206e-004	
901	0,901	-6,7079e-004	-6,7079e-004	-6,7079e-004	
902	0,902	-1,8801e-004	-1,8801e-004	-1,8801e-004	
903	0,903	5,0829e-004	5,0829e-004	5,0829e-004	
904	0,904	6,0648e-004	6,0648e-004	6,0648e-004	
905	0,905	3,4366e-007	3,4366e-007	3,4366e-007	
906	0,906	-5,9763e-004	-5,9763e-004	-5,9763e-004	
907	0,907	-4,9639e-004	-4,9639e-004	-4,9639e-004	
908	0,908	1,7709e-004	1,7709e-004	1,7709e-004	
909	0,909	6,3813e-004	6,3813e-004	6,3813e-004	
910	0,91	3,559e-004	3,559e-004	3,559e-004	
911	0,911	-3,3608e-004	-3,3608e-004	-3,3608e-004	
912	0,912	-6,3144e-004	-6,3144e-004	-6,3144e-004	
913	0,913	-1,9107e-004	-1,9107e-004	-1,9107e-004	
914	0,914	4,6567e-004	4,6567e-004	4,6567e-004	
915	0,915	5,7437e-004	5,7437e-004	5,7437e-004	
916	0,916	1,6762e-005	1,6762e-005	1,6762e-005	
917	0,917	-5,5253e-004	-5,5253e-004	-5,5253e-004	
918	0,918	-4,7578e-004	-4,7578e-004	-4,7578e-004	
919	0,919	1,4968e-004	1,4968e-004	1,4968e-004	
920	0,92	5,9539e-004	5,9539e-004	5,9539e-004	
921	0,921	3,4783e-004	3,4783e-004	3,4783e-004	
922	0,922	-3,0101e-004	-3,0101e-004	-3,0101e-004	
923	0,923	-5,949e-004	-5,949e-004	-5,949e-004	
924	0,924	-1,9473e-004	-1,9473e-004	-1,9473e-004	
925	0,925	4,2708e-004	4,2708e-004	4,2708e-004	
926	0,926	5,4519e-004	5,4519e-004	5,4519e-004	
927	0,927	3,0202e-005	3,0202e-005	3,0202e-005	
928	0,928	-5,1186e-004	-5,1186e-004	-5,1186e-004	
929	0,929	-4,5481e-004	-4,5481e-004	-4,5481e-004	
930	0,93	1,2634e-004	1,2634e-004	1,2634e-004	
931	0,931	5,5462e-004	5,5462e-004	5,5462e-004	
932	0,932	3,3762e-004	3,3762e-004	3,3762e-004	
933	0,933	-2,6833e-004	-2,6833e-004	-2,6833e-004	
934	0,934	-5,5847e-004	-5,5847e-004	-5,5847e-004	
935	0,935	-1,9764e-004	-1,9764e-004	-1,9764e-004	
936	0,936	3,8966e-004	3,8966e-004	3,8966e-004	
937	0,937	5,1767e-004	5,1767e-004	5,1767e-004	
938	0,938	4,3278e-005	4,3278e-005	4,3278e-005	
939	0,939	-4,7426e-004	-4,7426e-004	-4,7426e-004	
940	0,94	-4,3557e-004	-4,3557e-004	-4,3557e-004	
941	0,941	1,0555e-004	1,0555e-004	1,0555e-004	
942	0,942	5,175e-004	5,175e-004	5,175e-004	
943	0,943	3,2691e-004	3,2691e-004	3,2691e-004	
944	0,944	-2,3967e-004	-2,3967e-004	-2,3967e-004	
945	0,945	-5,2363e-004	-5,2363e-004	-5,2363e-004	
946	0,946	-1,9802e-004	-1,9802e-004	-1,9802e-004	
947	0,947	3,5462e-004	3,5462e-004	3,5462e-004	
948	0,948	4,8995e-004	4,8995e-004	4,8995e-004	
949	0,949	5,4956e-005	5,4956e-005	5,4956e-005	
950	0,95	-4,3803e-004	-4,3803e-004	-4,3803e-004	
951	0,951	-4,1692e-004	-4,1692e-004	-4,1692e-004	
952	0,952	8,586e-005	8,586e-005	8,586e-005	
953	0,953	4,8261e-004	4,8261e-004	4,8261e-004	
954	0,954	3,1693e-004	3,1693e-004	3,1693e-004	
955	0,955	-2,1343e-004	-2,1343e-004	-2,1343e-004	
956	0,956	-4,9158e-004	-4,9158e-004	-4,9158e-004	
957	0,957	-1,9736e-004	-1,9736e-004	-1,9736e-004	
958	0,958	3,2311e-004	3,2311e-004	3,2311e-004	
959	0,959	4,6324e-004	4,6324e-004	4,6324e-004	
960	0,96	6,4189e-005	6,4189e-005	6,4189e-005	
961	0,961	-4,0417e-004	-4,0417e-004	-4,0417e-004	
962	0,962	-3,9798e-004	-3,9798e-004	-3,9798e-004	
963	0,963	6,8296e-005	6,8296e-005	6,8296e-005	
964	0,964	4,4914e-004	4,4914e-004	4,4914e-004	
965	0,965	3,0647e-004	3,0647e-004	3,0647e-004	
966	0,966	-1,8875e-004	-1,8875e-004	-1,8875e-004	
967	0,967	-4,609e-004	-4,609e-004	-4,609e-004	
968	0,968	-1,9655e-004	-1,9655e-004	-1,9655e-004	
969	0,969	2,9367e-004	2,9367e-004	2,9367e-004	
970	0,97	4,3828e-004	4,3828e-004	4,3828e-004	
971	0,971	7,233e-005	7,233e-005	7,233e-005	
972	0,972	-3,7308e-004	-3,7308e-004	-3,7308e-004	
973	0,973	-3,7995e-004	-3,7995e-004	-3,7995e-004	
974	0,974	5,3007e-005	5,3007e-005	5,3007e-005	
975	0,975	4,1821e-004	4,1821e-004	4,1821e-004	
976	0,976	2,9538e-004	2,9538e-004	2,9538e-004	
977	0,977	-1,668e-004	-1,668e-004	-1,668e-004	
978	0,978	-4,3123e-004	-4,3123e-004	-4,3123e-004	
979	0,979	-1,9434e-004	-1,9434e-004	-1,9434e-004	
980	0,98	2,6581e-004	2,6581e-004	2,6581e-004	
981	0,981	4,1371e-004	4,1371e-004	4,1371e-004	
982	0,982	7,975e-005	7,975e-005	7,975e-005	
983	0,983	-3,4338e-004	-3,4338e-004	-3,4338e-004	
984	0,984	-3,6289e-004	-3,6289e-004	-3,6289e-004	
985	0,985	3,8566e-005	3,8566e-005	3,8566e-005	
986	0,986	3,8964e-004	3,8964e-004	3,8964e-004	
987	0,987	2,8509e-004	2,8509e-004	2,8509e-004	
988	0,988	-1,4734e-004	-1,4734e-004	-1,4734e-004	
989	0,989	-4,0398e-004	-4,0398e-004	-4,0398e-004	
990	0,99	-1,9083e-004	-1,9083e-004	-1,9083e-004	
991	0,991	2,4089e-004	2,4089e-004	2,4089e-004	
992	0,992	3,8955e-004	3,8955e-004	3,8955e-004	
993	0,993	8,5154e-005	8,5154e-005	8,5154e-005	
994	0,994	-3,1506e-004	-3,1506e-004	-3,1506e-004	
995	0,995	-3,4546e-004	-3,4546e-004	-3,4546e-004	
996	0,996	2,5086e-005	2,5086e-005	2,5086e-005	
997	0,997	3,6193e-004	3,6193e-004	3,6193e-004	
998	0,998	2,7539e-004	2,7539e-004	2,7539e-004	
999	0,999	-1,2872e-004	-1,2872e-004	-1,2872e-004	
1000	1,	-3,789e-004	-3,789e-004	-3,789e-004	
